"codigo","descripcion","lista1","lista2","lista3","lista4","lista5","linea","rubro","capacidad","pack"
"2721","LA COLINA CHENIN-CHARDONAY X 700","28.35","28.35","28.35","28.35","28.35","LA COLINA","2","","1"
"21013","COLON BEAUJOLAIS X 3/4","55.35","55.35","55.35","55.35","55.35","COLON","2","","1"
"71632","AMARGO SERRANO SIVIAR X 1LT","1","1","1","1","1","AMERICANO SIVIER X 1 LT","7","","1"
"1913","PALERMO PROMO DOCENA DE 13","41.51","41.51","41.51","41.51","41.51","PALERMO","1","","13"
"1117","BUDWEISER PROMO DOC. DE 13","1.12","1.12","1.12","1.12","1.12","BUDWEISER","1","","12"
"81110","LICOR SIVIAR X 187 D. DE LECHE SIN CARGO","0","0","0","0","0","SIVIAR","8","","1"
"81116","LICOR SIVIAR X 187 MENTA SIN CARGO","0","0","0","0","0","SIVIAR","8","","1"
"81111","	LICOR SIVIAR 12 X 187 CHOCOL.","0","0","0","0","0","SIVIAR","8","","1"
"81112","LICOR SIVIAR X 187 ARGENT.","0","0","0","0","0","SIVIAR","8","","1"
"12116","PROMO BUDW. VALE OTRA X 1 LT","0","0","0","0","0","BUDWEISER","12","","1"
"6343","SER SPORT 6X600 NARANJA","16","16","16","16","16","SER","6","","6"
"6344","SER SPORT 6X600 MANZANA","16","16","16","16","16","SER","6","","6"
"6345","SER SPORT 6X600 MANDARINA","16","16","16","16","16","SER","6","","6"
"6346","SER SPORT 6X600 POMELO ROS.","16","16","16","16","16","SER","6","","6"
"5621","TUBITO AMARGO CUYANO X 1 LT","0","0","0","0","0","CUYANO","5","","1"
"12117","PROMO BUDW. VALE OTRA X 1 LT PREMIO","1.12","1.12","1.12","1.12","1.12","HEINEKEN","1","","1"
"13115","FRIZZE REMERA","4","4","4","4","4","VARIOS","13","","1"
"13114","FRIZZER GORRA","4","4","4","4","4","VARIOS","13","","1"
"12118","BOTELLA DE BUD X 1 LT S/C","0","0","0","0","0","BUDWEISER","12","","1"
"8227","HIRAN WALKER VODKA X 750","8","8","8","8","8","CUSENIER","8","","1"
"5115","SOBRE DE TEREX X 18 S/C","0","0","0","0","0","TEREREX","5","","1"
"5413","JUGO TUBITO 6 X 1 POMEL. BAGUAL","10","10","10","10","10","BAGUAL","5","","6"
"13116","BIDON ROUNDUP FULL II X 20LTS.","496","496","496","496","496","VARIOS","13","","1"
"13117","ESTUCHE VINO CANCILLER X 750","2","2","2","2","2","VARIOS","13","","1"
"13118","FRAPERA DE PLAST. CANCILLER","11","11","11","11","11","VARIOS","13","","1"
"13119","FRAPERA DE PLAST. EST. MENDOZA","11","11","11","11","11","VARIOS","13","","1"
"9713","SIDRA LA PARRANDA 6 X 750","24","24","24","24","24","EL GAITERO","9","","1"
"2111","NATIVO 8 X 1 TINTO","0","0","0","0","0","NATIVO","2","","8"
"61118","V. DEL SUR CON GAS NARANJ. 12 X 500","0","0","0","0","0","VILLA DEL SUR","6","","12"
"12117","PROMO BUDW. VALE OTRA X 1 LT PREMIO","1.11","1.11","1.11","1.11","1.11","HEINEKEN","1","","1"
"61117","V. DEL SUR CON GAS MANZAN. 6 X 1 1/2","0","0","0","0","0","VILLA DEL SUR","6","","6"
"81116","LICOR SIVIAR X 187 MENTA SIN CARGO","0","0","0","0","0","SIVIAR","8","","1"
"61116","V. DEL SUR CON GAS NAR. 6 X 1 1/2","0","0","0","0","0","VILLA DEL SUR","6","","6"
"61115","V. DEL SUR CON GAS POMELO 6 X 1 1/2","0","0","0","0","0","VILLA DEL SUR","6","","6"
"81112","LICOR SIVIAR X 187 ARGENT.","0","0","0","0","0","SIVIAR","8","","1"
"81111","	LICOR SIVIAR 12 X 187 CHOCOL.","0","0","0","0","0","SIVIAR","8","","1"
"31210","FERNET TUBITO 6X1","0","0","0","0","0","TUBITO","3","","6"
"81110","LICOR SIVIAR X 187 D. DE LECHE SIN CARGO","0","0","0","0","0","SIVIAR","8","","1"
"3139","TUBITO 6 X 350 LIMONADA","0","0","0","0","0","TUBITO","3","","6"
"8129","LICOR SIVIAR  X 750 ANIS","0","0","0","0","0","SIVIAR","8","","1"
"3129","TUBITO 6 X 1 LIMONADA","0","0","0","0","0","TUBITO","3","","6"
"13119","FRAPERA DE PLAST. EST. MENDOZA","0","0","0","0","0","VARIOS","13","","1"
"9119","MUMM BRUT ROSE X 750","0","0","0","0","0","FRIZZE","9","","1"
"8119","LICOR SIVIAR 12 X 187 ANIS","0","0","0","0","0","SIVIAR","8","","1"
"3119","TUBITO 6 X 2 1/4 LIMONADA","0","0","0","0","0","TUBITO","3","","6"
"3138","TUBITO 6 X 350 GRANADINA","0","0","0","0","0","TUBITO","3","","6"
"8128","LICOR SIVIAR  X 750 DULCE DE LECHE","0","0","0","0","0","SIVIAR","8","","1"
"3128","TUBITO 6 X 1 GRANADINA","0","0","0","0","0","TUBITO","3","","6"
"5218","JUGO FARNEDA 6 X 500 COLA","0","0","0","0","0","FARNEDA","5","","6"
"3218","EXOCET 6 X 2 1/4 TUTIFRUTI","0","0","0","0","0","EXOCET","3","","6"
"13118","FRAPERA DE PLAST. CANCILLER","0","0","0","0","0","VARIOS","13","","1"
"12118","BOTELLA DE BUD X 1 LT S/C","0","0","0","0","0","BUDWEISER","12","","1"
"9118","FRIZZE 6 X 750 FRUTILLA","0","0","0","0","0","FRIZZE","9","","1"
"8118","LICOR SIVIAR 12 X 187 D. DE LECHE","0","0","0","0","0","SIVIAR","8","","1"
"3118","TUBITO 6 X 2 1/4 GRANADINA","0","0","0","0","0","TUBITO","3","","6"
"1111","BUDWEISER 12 X 1","0","0","0","0","0","BUDWEISER","1","","12"
"8147","VODKA SIVIAR  X 750 COMUN","0","0","0","0","0","SIVIAR","8","","6"
"3137","TUBITO 6 X 350 UVA","0","0","0","0","0","TUBITO","3","","6"
"8227","HIRAN WALKER VODKA X 750","0","0","0","0","0","CUSENIER","8","","1"
"8127","PINA COLADA SIVIAR X 750","0","0","0","0","0","SIVIAR","8","","1"
"3127","TUBITO 6 X 1 UVA","0","0","0","0","0","TUBITO","3","","6"
"21217","GRAFFIGNA MALVEC-SIRAH X 3/4","1.3","1.3","1.3","1.3","1.3","GRAFFIGNA","2","","1"
"2317","TORO V.  6  X 1250 TORRONTES","1.3","1.3","1.3","1.3","1.3","TORO VIEJO","2","","6"
"5217","JUGO FARNEDA 6 X 500 GRANAD","0","0","0","0","0","FARNEDA","5","","6"
"3217","EXOCET 6 X 2 1/4 LIMONADA","0","0","0","0","0","EXOCET","3","","6"
"13117","ESTUCHE VINO CANCILLER X 750","0","0","0","0","0","VARIOS","13","","1"
"9117","FRIZZE 6 X 750 F. DEL BOSQUE","0","0","0","0","0","FRIZZE","9","","1"
"8117","PINA COLADA SIVIAR 12 X 187","0","0","0","0","0","SIVIAR","8","","1"
"3117","TUBITO 6 X 2 1/4 UVA","0","0","0","0","0","TUBITO","3","","6"
"1117","BUDWEISER PROMO DOC. DE 13","1.11","1.11","1.11","1.11","1.11","BUDWEISER","1","","12"
"6346","SER SPORT 6X600 POMELO ROS.","0","0","0","0","0","SER","6","","6"
"8146","VODKA SIVIAR  X 750 GUARANA","0","0","0","0","0","SIVIAR","8","","6"
"3136","TUBITO 6 X 350 ORO","0","0","0","0","0","TUBITO","3","","6"
"2136","NATIVO X 1 BLANCO","56.94","56.94","56.94","56.94","56.94","NATIVO","2","","1"
"2626","CANCILLER CHENIN X 3/4","56.94","56.94","56.94","56.94","56.94","CANCILLER","2","","1"
"8226","TIA MARIA X 700 LT","0","0","0","0","0","CUSENIER","8","","1"
"8126","LICOR SIVIAR  X 750 MENTA","0","0","0","0","0","SIVIAR","8","","1"
"3126","TUBITO 6 X 1 POMELO ROSADO","0","0","0","0","0","TUBITO","3","","6"
"21316","AYRES DE CAFAYATE MALVEC X 750","56.94","56.94","56.94","56.94","56.94","AYRES DE CAFAYATE","2","","1"
"21216","AYRES DE CAFAYATE CABERNT X 750","56.94","56.94","56.94","56.94","56.94","GRAFFIGNA","2","","1"
"5316","SER POLVO X 18 MELON-MANZA","0","0","0","0","0","SER","5","","1"
"2316","TORO V. SIRAK 6  X 1250 TTO","56.94","56.94","56.94","56.94","56.94","TORO VIEJO","2","","6"
"5216","JUGO FARNEDA 6 X 500 DURAZNO","0","0","0","0","0","FARNEDA","5","","6"
"3216","EXOCET 6 X 2 1/4 POM. ROSADO","0","0","0","0","0","EXOCET","3","","6"
"1216","HEINEKEN. LOINECK 24 X 330","48.62","48.62","48.62","48.62","48.62","HEINEKEN","1","","24"
"13116","BIDON ROUNDUP FULL II X 20LTS.","0","0","0","0","0","VARIOS","13","","1"
"12116","PROMO BUDW. VALE OTRA X 1 LT","0","0","0","0","0","BUDWEISER","12","","1"
"9116","FRIZZE 6 X 750 DURAZNO","0","0","0","0","0","FRIZZE","9","","1"
"8116","LICOR SIVIAR 12 X 187 MENTA","0","0","0","0","0","SIVIAR","8","","1"
"6116","V. DEL SUR 12 X 500 NARANJA","0","0","0","0","0","VILLA DEL SUR","6","","12"
"3116","TUBITO 6 X 2 1/4 POMELO ROSADO","0","0","0","0","0","TUBITO","3","","6"
"1116","VASO PROMO BUDWEISER","48.62","48.62","48.62","48.62","48.62","BUDWEISER","1","","1"
"6345","SER SPORT 6X600 MANDARINA","0","0","0","0","0","SER","6","","6"
"8145","VODKA SIVIAR  X 750 NARANJA","0","0","0","0","0","SIVIAR","8","","6"
"3135","TUBITO 6 X 350 POMELO","0","0","0","0","0","TUBITO","3","","6"
"2135","NATIVO BLANCO PROMO COMBO X 6","79.56","79.56","79.56","79.56","79.56","NATIVO","2","","18"
"8225","LICOR CUSENIER X 700 DURAZ.","0","0","0","0","0","CUSENIER","8","","1"
"8125","LICOR SIVIAR X 750 FRUTILLA","0","0","0","0","0","SIVIAR","8","","1"
"3125","TUBITO 6 X 1 POMELO","0","0","0","0","0","TUBITO","3","","6"
"2125","NATIVO ROSADO PROMO COMBO X 6","79.56","79.56","79.56","79.56","79.56","NATIVO","2","","25"
"21215","GRAFFIGNA X 3/4 135 ANIVERS.","79.56","79.56","79.56","79.56","79.56","GRAFFIGNA","2","","1"
"71015","FERNET CAPRI X 1 LT PROMO","0","0","0","0","0","CAPRI","7","","1"
"2815","ESTANCIA MZA MALVEC ROBLE X 3/4","79.56","79.56","79.56","79.56","79.56","ESTANCIA DE MENDOZA","2","","1"
"2615","CANCILLER CABERNET X 1500","79.56","79.56","79.56","79.56","79.56","CANCILLER","2","","1"
"5315","SER POLVO X 18 POM. ROSADO","0","0","0","0","0","SER","5","","1"
"2315","TORO SIRAK 6 X 3/4 TINTO","79.56","79.56","79.56","79.56","79.56","TORO VIEJO","2","","6"
"1315","SCHNEIDER LATA 24 X 473","67.93","67.93","67.93","67.93","67.93","SCHNEIDER","1","","24"
"12215","TUBITO PROMO PLATO","0","0","0","0","0","TUBITO","12","","1"
"6215","VILLA VCENCIO 24 X 500 S/G VIDRIO","0","0","0","0","0","VILLA VICENCIO","6","","24"
"5215","JUGO FARNEDA 6 X 500 FRUTILLA","0","0","0","0","0","FARNEDA","5","","6"
"3215","EXOCET 6 X 2 1/4 POMELO","0","0","0","0","0","EXOCET","3","","6"
"1215","HEINEKEN LATA 24X473","67.93","67.93","67.93","67.93","67.93","HEINEKEN","1","","24"
"13115","FRIZZE REMERA","0","0","0","0","0","VARIOS","13","","1"
"12115","COMBO SCHNEIDER X 12 LATAS 473","0","0","0","0","0","BUDWEISER","12","","12"
"9115","FRIZZE 6 X 750 CITRUS","0","0","0","0","0","FRIZZE","9","","1"
"8115","LICOR SIVIAR 12 X 187 FRUTILLA","0","0","0","0","0","SIVIAR","8","","1"
"6115","V. DEL SUR 12 X 500 MANZANA","0","0","0","0","0","VILLA DEL SUR","6","","12"
"5115","SOBRE DE TEREX X 18 S/C","0","0","0","0","0","TEREREX","5","","1"
"3115","TUBITO 6 X 2 1/4 POMELO","0","0","0","0","0","TUBITO","3","","6"
"2115","NATIVO TINTO PROMO COMBO X 6","79.56","79.56","79.56","79.56","79.56","NATIVO","2","","18"
"1115","BUD. LOINECK  24 X 355","67.93","67.93","67.93","67.93","67.93","BUDWEISER","1","","24"
"6344","SER SPORT 6X600 MANZANA","0","0","0","0","0","SER","6","","6"
"8144","VODKA SIVIAR  X 750 DURAZNO","0","0","0","0","0","SIVIAR","8","","6"
"3134","TUBITO 6 X 350 GUARANA","0","0","0","0","0","TUBITO","3","","6"
"2134","NATIVO BLANCO PROMO X 1","50.18","50.18","50.18","50.18","50.18","NATIVO","2","","1"
"21224","GRAFFIGNA CHARDONAY X 3/4","50.18","50.18","50.18","50.18","50.18","GRAFFIGNA","2","","1"
"8224","LICOR CUSENIER X 1 LT PINA CLINTON","0","0","0","0","0","CUSENIER","8","","1"
"8124","LICOR SIVIAR  X 750 DURAZ.","0","0","0","0","0","SIVIAR","8","","1"
"6124","V. SUR X 6 LTRS","0","0","0","0","0","VILLA DEL SUR","6","","6"
"3124","TUBITO 6 X 1 GUARANA","0","0","0","0","0","TUBITO","3","","6"
"2124","NATIVO ROSADO PROMO X 1","50.18","50.18","50.18","50.18","50.18","NATIVO","2","","1"
"21214","GRAFFIGNA VINCULOS SIRAH-CABER. X  3/4","50.18","50.18","50.18","50.18","50.18","GRAFFIGNA","2","","1"
"71014","FERNET CAPRI X 750 CON VASO","0","0","0","0","0","CAPRI","7","","1"
"2814","ESTANCIA MZA CABERNET X 3/4","50.18","50.18","50.18","50.18","50.18","ESTANCIA DE MENDOZA","2","","1"
"2614","CANCILLER MALVEC X 1500","50.18","50.18","50.18","50.18","50.18","CANCILLER","2","","1"
"9514","CHAMP. CANCILLER DEMISEC X 750","0","0","0","0","0","CANCILLER","9","","1"
"5314","SER POLVO X 18 NAR-DURAZ.","0","0","0","0","0","SER","5","","1"
"2314","TORO V. LACRADO 6 X 3/4","50.18","50.18","50.18","50.18","50.18","TORO VIEJO","2","","6"
"1314","SCHNEIDER LATA 24 X 355","42.85","42.85","42.85","42.85","42.85","SCHNEIDER","1","","24"
"12214","TUBITO PROMO CUBIERTO","0","0","0","0","0","TUBITO","12","","1"
